dataProduct,measurementID,measurement_name,units
DP1.10026.001,boron_concentration_sunlit_foliage,Boron Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,cn_ratio_sunlit_foliage,C:N Ratio; Sun-lit Foliage,NA
DP1.10026.001,calcium_concentration_sunlit_foliage,Calcium Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,carbon_percentage_sunlit_foliage,Carbon Percentage; Sun-lit Foliage,percent
DP1.10026.001,carotenoid_concentration_sunlit_foliage,Carotenoid Concentration; Sun-lit Foliage,microgramsPerMilliliter
DP1.10026.001,cellulose_percentage_sunlit_foliage,Cellulose Percentage; Sun-lit Foliage,percent
DP1.10026.001,chlorophyll_a_concentration_sunlit_foliage,Chlorophyll A Concentration; Sun-lit Foliage,microgramsPerMilliliter
DP1.10026.001,chlorophyll_b_concentration_sunlit_foliage,Chlorophyll B Concentration; Sun-lit Foliage,microgramsPerMilliliter
DP1.10026.001,copper_concentration_sunlit_foliage,Copper Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,iron_concentration_sunlit_foliage,Iron Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,leaf_mass_per_area_sunlit_foliage,Leaf Mass Per Area; Sun-lit Foliage,gramsPerSquareMeter
DP1.10026.001,lignin_percentage_sunlit_foliage,Lignin Percentage; Sun-lit Foliage,percent
DP1.10026.001,magnesium_concentration_sunlit_foliage,Magnesium Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,manganese_concentration_sunlit_foliage,Manganese Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,nitrogen_percentage_sunlit_foliage,Nitrogen Percentage; Sun-lit Foliage,percent
DP1.10026.001,phosphorus_concentration_sunlit_foliage,Phosphorus Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,potassium_concentration_sunlit_foliage,Potassium Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,sulfur_concentration_sunlit_foliage,Sulfur Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10026.001,zinc_concentration_sunlit_foliage,Zinc Concentration; Sun-lit Foliage,milligramsPerKilogram
DP1.10033.001,13c12c_isotope_ratio_litterfall,13C:12C Isotope Ratio; Litterfall,permill
DP1.10033.001,15n14n_isotope_ratio_litterfall,15N:14N Isotope Ratio; Litterfall,permill
DP1.10033.001,cn_ratio_litterfall,C:N Ratio; Litterfall,NA
DP1.10033.001,carbon_percentage_litterfall,Carbon Percentage; Litterfall,percent
DP1.10033.001,cellulose_percentage_litterfall,Cellulose Percentage; Litterfall,percent
DP1.10033.001,lignin_percentage_litterfall,Lignin Percentage; Litterfall,percent
DP1.10033.001,litterfall_average_rate,Litterfall Average Rate,gramPerDay
DP1.10033.001,mass_litterfall,Mass; Litterfall,gram
DP1.10033.001,nitrogen_percentage_litterfall,Nitrogen Percentage; Litterfall,percent
DP1.10041.001,minimum_infection_rate_alphavirus_mosquito,Minimum Infection Rate; Alphavirus; Mosquito,infectionsPer1000Mosquitoes
DP1.10041.001,minimum_infection_rate_flavivirus_mosquito,Minimum Infection Rate; Flavivirus; Mosquito,infectionsPer1000Mosquitoes
DP1.10041.001,minimum_infection_rate_mosquito,Minimum Infection Rate; Mosquito,infectionsPer1000Mosquitoes
DP1.10041.001,minimum_infection_rate_orthobunyavirus_mosquito,Minimum Infection Rate; Orthobunyavirus; Mosquito,infectionsPer1000Mosquitoes
DP1.10043.001,abundance_mosquito,Abundance; Mosquito,number
DP1.10043.001,mosquito_femalemale_ratio,Mosquito Female:Male Ratio,dimensionless
DP1.10043.001,pielous_evenness_mosquito,Pielou's Evenness; Mosquito,dimensionless
DP1.10043.001,shannon_diversity_mosquito,Shannon Diversity; Mosquito,dimensionless
DP1.10043.001,species_rarity_mosquito,Species Rarity; Mosquito,dimensionless
DP1.10043.001,species_richness_mosquito,Species Richness; Mosquito,species
DP1.10055.001,intensity_terrestrial_plant_phenology_early_senescence,Intensity; Terrestrial Plant Phenology; Early Senescence,percent
DP1.10055.001,intensity_terrestrial_plant_phenology_flowering,Intensity; Terrestrial Plant Phenology; Flowering,percent
DP1.10055.001,intensity_terrestrial_plant_phenology_fruiting,Intensity; Terrestrial Plant Phenology; Fruiting,count
DP1.10055.001,intensity_terrestrial_plant_phenology_leaf_development,Intensity; Terrestrial Plant Phenology; Leaf Development,dimensionless
DP1.10055.001,intensity_terrestrial_plant_phenology_leaf_emergence,Intensity; Terrestrial Plant Phenology; Leaf Emergence,count
DP1.10055.001,intensity_terrestrial_plant_phenology_peak_foliage,Intensity; Terrestrial Plant Phenology; Peak Foliage,percent
DP1.10055.001,intensity_terrestrial_plant_phenology_ripe_fruit,Intensity; Terrestrial Plant Phenology; Ripe Fruit,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_early_senescence,Relative Percent Observation; Terrestrial Plant Phenology; Early Senescence,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_flowering,Relative Percent Observation; Terrestrial Plant Phenology; Flowering,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_fruiting,Relative Percent Observation; Terrestrial Plant Phenology; Fruiting,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_late_senescence,Relative Percent Observation; Terrestrial Plant Phenology; Late Senescence,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_leaf_development,Relative Percent Observation; Terrestrial Plant Phenology; Leaf Development,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_leaf_emergence,Relative Percent Observation; Terrestrial Plant Phenology; Leaf Emergence,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_peak_foliage,Relative Percent Observation; Terrestrial Plant Phenology; Peak Foliage,percent
DP1.10055.001,relative_percent_observation_terrestrial_plant_phenology_ripe_fruit,Relative Percent Observation; Terrestrial Plant Phenology; Ripe Fruit,percent
DP1.10058.001,abundance_terrestrial_plant,Abundance; Terrestrial Plant,number
DP1.10058.001,pielous_evenness_terrestrial_plant,Pielou's Evenness; Terrestrial Plant,dimensionless
DP1.10058.001,relative_percent_groundcover_biocrust_cyanobacteria,Relative Percent Groundcover; Biocrust Cyanobacteria,percent
DP1.10058.001,relative_percent_groundcover_biocrust_lichen,Relative Percent Groundcover; Biocrust Lichen,percent
DP1.10058.001,relative_percent_groundcover_biocrust_moss,Relative Percent Groundcover; Biocrust Moss,percent
DP1.10058.001,relative_percent_groundcover_fungi,Relative Percent Groundcover; Fungi,percent
DP1.10058.001,relative_percent_groundcover_lichen,Relative Percent Groundcover; Lichen,percent
DP1.10058.001,relative_percent_groundcover_litter,Relative Percent Groundcover; Litter,percent
DP1.10058.001,relative_percent_groundcover_moss,Relative Percent Groundcover; Moss,percent
DP1.10058.001,relative_percent_groundcover_rock,Relative Percent Groundcover; Rock,percent
DP1.10058.001,relative_percent_groundcover_soil,Relative Percent Groundcover; Soil,percent
DP1.10058.001,relative_percent_groundcover_standing_dead,Relative Percent Groundcover; Standing Dead,percent
DP1.10058.001,relative_percent_groundcover_terrestrial_plant,Relative Percent Groundcover; Terrestrial Plant,percent
DP1.10058.001,relative_percent_groundcover_terrestrial_plant_invasive,Relative Percent Groundcover; Terrestrial Plant; Invasive,percent
DP1.10058.001,relative_percent_groundcover_terrestrial_plant_native,Relative Percent Groundcover; Terrestrial Plant; Native,percent
DP1.10058.001,relative_percent_groundcover_wood,Relative Percent Groundcover; Wood,percent
DP1.10058.001,shannon_diversity_terrestrial_plant,Shannon Diversity; Terrestrial Plant,dimensionless
DP1.10058.001,species_rarity_terrestrial_plant,Species Rarity; Terrestrial Plant,dimensionless
DP1.10058.001,species_richness_terrestrial_plant,Species Richness; Terrestrial Plant,species
DP1.10064.002,anaplasma_prevalence_small_mammal,Anaplasma Prevalence; Small Mammal,percent
DP1.10064.002,babesia_prevalence_small_mammal,Babesia Prevalence; Small Mammal,percent
DP1.10064.002,borrelia_prevalence_small_mammal,Borrelia Prevalence; Small Mammal,percent
DP1.10064.002,ehrlichia_prevalence_small_mammal,Ehrlichia Prevalence; Small Mammal,percent
DP1.10064.002,francisella_prevalence_small_mammal,Francisella Prevalence; Small Mammal,percent
DP1.10064.002,pathogen_prevalence_small_mammal,Pathogen Prevalence; Small Mammal,percent
DP1.10064.002,rickettsia_prevalence_small_mammal,Rickettsia Prevalence; Small Mammal,percent
DP1.10067.001,13c12c_isotope_ratio_root,13C:12C Isotope Ratio; Root,permill
DP1.10067.001,15n14n_isotope_ratio_root,15N:14N Isotope Ratio; Root,permill
DP1.10067.001,biomass_density_root,Biomass Density; Root,gramsPerMeterSquared
DP1.10067.001,cn_ratio_root,C:N Ratio; Root,NA
DP1.10067.001,carbon_percentage_root,Carbon Percentage; Root,percent
DP1.10067.001,nitrogen_percentage_root,Nitrogen Percentage; Root,percent
DP1.10072.001,abundance_small_mammal,Abundance; Small Mammal,number
DP1.10072.001,pielous_evenness_small_mammal,Pielou's Evenness; Small Mammal,dimensionless
DP1.10072.001,shannon_diversity_small_mammal,Shannon Diversity; Small Mammal,dimensionless
DP1.10072.001,species_rarity_small_mammal,Species Rarity; Small Mammal,dimensionless
DP1.10072.001,species_richness_small_mammal,Species Richness; Small Mammal,species
DP1.10086.001,13c12c_isotope_ratio_mineral_soil,13C:12C Isotope Ratio; Mineral Soil,permill
DP1.10086.001,13c12c_isotope_ratio_organic_soil,13C:12C Isotope Ratio; Organic Soil,permill
DP1.10086.001,15n14n_isotope_ratio_mineral_soil,15N:14N Isotope Ratio; Mineral Soil,permill
DP1.10086.001,15n14n_isotope_ratio_organic_soil,15N:14N Isotope Ratio; Organic Soil,permill
DP1.10086.001,cn_ratio_mineral_soil,C:N Ratio; Mineral Soil,NA
DP1.10086.001,cn_ratio_organic_soil,C:N Ratio; Organic Soil,NA
DP1.10086.001,carbon_percentage_mineral_soil,Carbon Percentage; Mineral Soil,percent
DP1.10086.001,carbon_percentage_organic_soil,Carbon Percentage; Organic Soil,percent
DP1.10086.001,moisture_mineral_soil,Moisture; Mineral Soil,gramsPerGram
DP1.10086.001,moisture_organic_soil,Moisture; Organic Soil,gramsPerGram
DP1.10086.001,nitrogen_percentage_mineral_soil,Nitrogen Percentage; Mineral Soil,percent
DP1.10086.001,nitrogen_percentage_organic_soil,Nitrogen Percentage; Organic Soil,percent
DP1.10086.001,ph_mineral_soil,pH; Mineral Soil,pH
DP1.10086.001,ph_organic_soil,pH; Organic Soil,pH
DP1.10092.001,anaplasma_prevalence_tick,Anaplasma Prevalence; Tick,percent
DP1.10092.001,babesia_prevalence_tick,Babesia Prevalence; Tick,percent
DP1.10092.001,borrelia_prevalence_tick,Borrelia Prevalence; Tick,percent
DP1.10092.001,ehrlichia_prevalence_tick,Ehrlichia Prevalence; Tick,percent
DP1.10092.001,francisella_prevalence_tick,Francisella Prevalence; Tick,percent
DP1.10092.001,pathogen_prevalence_tick,Pathogen Prevalence; Tick,percent
DP1.10092.001,rickettsia_prevalence_tick,Rickettsia Prevalence; Tick,percent
DP1.10093.001,abundance_tick,Abundance; Tick,number
DP1.10093.001,pielous_evenness_tick,Pielou's Evenness; Tick,dimensionless
DP1.10093.001,shannon_diversity_tick,Shannon Diversity; Tick,dimensionless
DP1.10093.001,species_rarity_tick,Species Rarity; Tick,dimensionless
DP1.10093.001,species_richness_tick,Species Richness; Tick,species
DP1.10098.001,biomass_density_terrestrial_plant_ferns,Biomass Density; Terrestrial Plant; Ferns,individualsPerMeterSquared
DP1.10098.001,biomass_density_terrestrial_plant_liana,Biomass Density; Terrestrial Plant; Liana,individualsPerMeterSquared
DP1.10098.001,biomass_density_terrestrial_plant_other_nonwoody,Biomass Density; Terrestrial Plant; Other Non-Woody,individualsPerMeterSquared
DP1.10098.001,biomass_density_terrestrial_plant_shrubs,Biomass Density; Terrestrial Plant; Shrubs,individualsPerMeterSquared
DP1.10098.001,biomass_density_terrestrial_plant_total,Biomass Density; Terrestrial Plant; Total,individualsPerMeterSquared
DP1.10098.001,biomass_density_terrestrial_plant_trees,Biomass Density; Terrestrial Plant; Trees,individualsPerMeterSquared
DP1.10098.001,crown_area_terrestrial_plant_other_nonwoody,Crown Area; Terrestrial Plant; Other Non-Woody,metersSquared
DP1.10098.001,crown_area_terrestrial_plant_shrubs,Crown Area; Terrestrial Plant; Shrubs,metersSquared
DP1.10098.001,crown_area_terrestrial_plant_trees,Crown Area; Terrestrial Plant; Trees,metersSquared
DP1.10098.001,mean_crown_diameter_terrestrial_plant_other_nonwoody,Mean Crown Diameter; Terrestrial Plant; Other Non-Woody,meter
DP1.10098.001,mean_crown_diameter_terrestrial_plant_shrubs,Mean Crown Diameter; Terrestrial Plant; Shrubs,meter
DP1.10098.001,mean_crown_diameter_terrestrial_plant_total,Mean Crown Diameter; Terrestrial Plant; Total,meter
DP1.10098.001,mean_crown_diameter_terrestrial_plant_trees,Mean Crown Diameter; Terrestrial Plant; Trees,meter
DP1.10098.001,mean_height_terrestrial_plant_other_nonwoody,Mean Height; Terrestrial Plant; Other Non-Woody,meter
DP1.10098.001,mean_height_terrestrial_plant_saplings,Mean Height; Terrestrial Plant; Saplings,meter
DP1.10098.001,mean_height_terrestrial_plant_shrubs,Mean Height; Terrestrial Plant; Shrubs,meter
DP1.10098.001,mean_height_terrestrial_plant_small_trees,Mean Height; Terrestrial Plant; Small Trees,meter
DP1.10098.001,mean_height_terrestrial_plant_total,Mean Height; Terrestrial Plant; Total,meter
DP1.10098.001,mean_height_terrestrial_plant_trees,Mean Height; Terrestrial Plant; Trees,meter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_liana,Mean Stem Diameter; Terrestrial Plant; Liana,centimeter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_other_nonwoody,Mean Stem Diameter; Terrestrial Plant; Other Non-Woody,centimeter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_saplings,Mean Stem Diameter; Terrestrial Plant; Saplings,centimeter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_shrubs,Mean Stem Diameter; Terrestrial Plant; Shrubs,centimeter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_small_trees,Mean Stem Diameter; Terrestrial Plant; Small Trees,centimeter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_total,Mean Stem Diameter; Terrestrial Plant; Total,centimeter
DP1.10098.001,mean_stem_diameter_terrestrial_plant_trees,Mean Stem Diameter; Terrestrial Plant; Trees,centimeter
DP1.10104.001,biomass_density_microbial_soil,Biomass Density; Microbial; Soil,nanomolesPerGram
DP1.20004.001,barometric_pressure_maximum,Barometric Pressure; Maximum,kilopascal
